latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,confidence,bright_ti5,frp,daynight,type,month,year,season,low_confidence,nearest_landuse_class,distance_to_landuse_m,worldcover_class,jharkhand_district,label_final,ti_diff,log_frp,month_sin,month_cos,hour,hour_sin,hour_cos,daynight_bin,low_confidence_int,confidence_ordinal,source_cluster_id,n_detections_at_source,unique_days_active,days_active_span,predicted_class,prediction_confidence,prob_agricultural_burning,prob_forest_fire,prob_industrial,prob_quarry_mining,prob_vegetation_fire_open_scrub
23.77519,86.20687,296.01,0.33,0.56,2022-01-01,1919,n,284.89,0.62,N,2,1,2022,Winter,False,No OSM match,1111.9,Grassland,Dhanbad,Unclassified,11.120000000000005,0.4824261492442927,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7057_25590,239,214,726,Industrial,0.47423735,0.0019173294,0.004392152,0.47423735,0.2185918,0.30086142
23.77683,86.19012,299.13,0.34,0.56,2022-01-01,1919,n,283.63,0.71,N,2,1,2022,Winter,False,No OSM match,731.5,Bare/sparse vegetation,Dhanbad,Unclassified,15.5,0.5364933705145685,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7058_25585,26,25,648,Vegetation fire (open/scrub),0.7618222,0.028342977,0.022596395,0.07761273,0.109625675,0.7618222
23.77715,86.39648,302.16,0.32,0.55,2022-01-01,1919,n,286.88,1.14,N,2,1,2022,Winter,False,No OSM match,594.1,Grassland,Dhanbad,Unclassified,15.28000000000003,0.76080582903376,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7058_25647,91,91,723,Quarry/Mining,0.82740194,0.00080398197,0.002641784,0.14285582,0.82740194,0.026296496
23.77747,86.39329,311.27,0.33,0.55,2022-01-01,1919,n,287.87,1.14,N,2,1,2022,Winter,False,No OSM match,920.2,Bare/sparse vegetation,Dhanbad,Unclassified,23.399999999999977,0.76080582903376,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7058_25646,275,249,724,Industrial,0.6728235,0.00047026316,0.0013485503,0.6728235,0.31204364,0.0133140525
23.77779,86.39008,321.91,0.33,0.55,2022-01-01,1919,n,289.94,2.05,N,2,1,2022,Winter,False,No OSM match,1248.6,Bare/sparse vegetation,Dhanbad,Unclassified,31.970000000000027,1.1151415906193205,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7058_25645,415,337,728,Industrial,0.8752149,0.00029242042,0.00041102746,0.8752149,0.12044206,0.0036396182
23.77942,86.39619,320.17,0.33,0.55,2022-01-01,1919,n,288.15,2.15,N,2,1,2022,Winter,False,No OSM match,709.4,Bare/sparse vegetation,Dhanbad,Unclassified,32.02000000000004,1.1474024528375415,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7059_25646,498,374,729,Industrial,0.98561513,0.00025013124,0.00025525538,0.98561513,0.011734836,0.002144601
23.77973,86.39298,329.95,0.33,0.55,2022-01-01,1919,n,290.61,2.15,N,2,1,2022,Winter,False,No OSM match,1018.4,Bare/sparse vegetation,Dhanbad,Unclassified,39.339999999999975,1.1474024528375415,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7059_25646,498,374,729,Industrial,0.9841149,0.00022342548,0.00037639122,0.9841149,0.012583972,0.0027013212
23.78003,86.38977,318.47,0.33,0.55,2022-01-01,1919,n,289.44,3.17,N,2,1,2022,Winter,False,No OSM match,1336.4,Bare/sparse vegetation,Dhanbad,Unclassified,29.03000000000003,1.42791603581071,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7059_25645,467,362,728,Industrial,0.99541086,6.977283e-05,0.00015552343,0.99541086,0.003558355,0.00080545846
23.78033,86.20762,309.87,0.33,0.56,2022-01-01,1919,n,288.22,0.62,N,2,1,2022,Winter,False,No OSM match,1104.4,Bare/sparse vegetation,Dhanbad,Unclassified,21.649999999999977,0.4824261492442927,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7059_25591,73,59,626,Vegetation fire (open/scrub),0.5622962,0.011264689,0.0052638208,0.22855285,0.19262244,0.5622962
23.78206,86.34756,317.64,0.33,0.55,2022-01-01,1919,n,286.14,0.96,N,2,1,2022,Winter,False,No OSM match,828.0,Bare/sparse vegetation,Dhanbad,Unclassified,31.5,0.6729444732424258,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7059_25632,454,344,729,Industrial,0.9921864,0.0001339659,0.0002973417,0.9921864,0.0052467613,0.0021354342
23.78224,86.39714,310.66,0.32,0.55,2022-01-01,1919,n,285.54,1.14,N,2,1,2022,Winter,False,No OSM match,845.0,Bare/sparse vegetation,Dhanbad,Unclassified,25.120000000000005,0.76080582903376,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7059_25647,176,163,727,Industrial,0.96309674,0.00014439686,0.0005284206,0.96309674,0.030988485,0.0052419715
